month,department,expenditure_gbp_millions,gdp_growth_pct,category
2023-01,RCA,4343,1.2,tax_collection
2023-03,NDO,,0.1,defence
2023-06,JCS,2662,-0.1,justice
2022-01,ESA,6316,-0.3,education
12-2022,EPB,1938,0.6,environment
2024-09,RCA,N/A,0.9,tax_collection
2024-04,NDO,3730,0.1,defence
2023-07,JCS,2808,1.2,justice
2023-02,JCS,2695,-0.1,justice
2024/03,EPB,2143,0.4,environment
2024/12,ITB,4914,0.3,infrastructure
2024-04,NDO,3720,-0.1,defence
2023-09,SBD,8135,0.3,welfare
2024-11,DTO,1374,0.7,Digital
2023-10,environment protection bureau,1900,0.5,environment
Oct-2022,HSE,9126,-0.1,health
2024-09,ITB,£5298,1.1,infrastructure
2024-01-01,RCA,,-0.1,tax_collection
2024-10,HSE,9284,0.9,health
2024-03,JCS,2984M,0.2,justice
2024-05,ESA,6110,1.0,education
2023-10,RCA,£4133,,tax_collection
2023-10,JCS,2875,0.8,justice
2022-01,HSE,9279,-0.1,Health Services
2024-11,HSE,,0.9,health
2022-06,ESA,6156,0.0,EDUCATION
2022-11,RCA,4016,1.1,tax_collection
2022-03-01,HCD,-,0.1,housing
2023-09,NDO,3516,0.1,National Defence
2023-9,DTO,1261,0.4,digital
2022-03,JCS,2794,0.2,justice
2022-06,HCD,-4681,1.0,housing
2022-06,JCS,2839,,justice
2023-09,NDO,3516,0.3,National Defence
2022-05,EPB,2034,-0.0,environment
2023-08,ITB,4912,0.0,infrastructure
Jul-2023,EPB,2299,0.6,Environment
2022-02,ESA,6211,1.1,education
2024-11,SBD,8135,0.8,welfare
2023-12,DTO,1164,0.5,digital
2022-02,HSE,£9174,n/a,health
Apr-2022,Digital & Technology Office,1236,0.3,digital
2023-10,DTO,1021,0.8,digital
2024-10,EPB,-1906,1.0,environment
2023-05,ITB,5053,1.1,infrastructure
Sep-2023,ESA,6145,,education
2023-06,EPB,,0.6,environment
2022-12,SBD,7927,0.7,welfare
2024-01,JCS,£2993,-0.1,justice
2023-05,EPB,2209M,,environment
2024-10,Education Standards Authority,6277M,0.7,education
2023-4,Revenue Collections Agency,4330,0.1,tax_collection
2022-07,ESA,6158,0.2,education
2022-02,DTO,1194,-0.3,Digital
03-2022,ITB,£5216,1.0,infrastructure
2022-12,DTO,,0.4,Digital
05-2023,SBD,8234,,welfare
2023-11,SBD,,0.5,welfare
2022-10,DTO,1112,0.0,digital_tech
2022-07,EPB,2034,1.2,environment
06-2022,NDO,3604,0.5,defence
2023-02,NDO,3551,0.1,defence
03-2023,JCS,2802,-0.1,justice
2022-06,DTO,1216,0.4,digital
2024-11,HSE,,0.9,health
Oct-2022,JCS,2717,-0.1,justice
2024-02,HSE,9335,0.8,health services
2023-10,ESA,6361,0.1,education
2023-02,SBD,8149,0.1,welfare benefits
2024-09,RCA,N/A,0.8,tax_collection
2023-10,SOCIAL BENEFITS DIRECTORATE,#N/A,-0.1,welfare
2024/12,sbd,8137,0.6,welfare
2024/12,sbd,8137,0.6,welfare
2024-08, Justice & Courts Service,2711M,0.5,justice
2024-12,HCD,4732,0.3,housing
2023-3,ESA,6398,0.6,education
2022-09,HCD,4684,0.3,housing
12-2022,EPB,1938,0.4,environment
2023-02,HSE,9277,0.1,Health Services
2022-08,JCS,£2757,0.1,justice
2023-07,JCS,2808,1.3,justice
2022-11,DTO,1208,0.1,digital
2024-04,EPB,2255,0.0,environment
2022-03,ESA,6460,-0.1,education_standards
2024/12,ITB,4914,0.5,infrastructure
04-2023,health services executive,9051,-0.1,health
2023-12,EPB,2126,0.7,environment
2023-05,RCA,4362,0.2,tax_collection
06-2022,NDO,3603,0.3,defence
2023-04,NDO,3435,-0.2,defence
2024-09,DTO,1192,0.4,digital
2023-01,DTO,1199,0.2,digital
2022-12,SBD,7927,0.7,welfare
2023-11,dto,1209M,0.3,digital
2023-11,HCD,-,0.2,housing
2023-09,HCD,4742,,housing
2024-02,Environment Protection Bureau,2261,0.5,environment
2023-02,HSE,9272,-0.1,Health Services
2022-6,EPB,2095,-,env
2024-04,ESA,6271,0.2,education
2023-02,RCA,4284,0.9,tax_collection
2024-12,EPB,2041,0.6,environment
2023-11,dto,1209M,0.3,digital
2024-03,HSE,9313,0.9,health
2022-11,RCA,4016,1.0,tax_collection
2022-02,RCA,,0.1,tax_collection
2022-11,EPB,1949,0.7,environment
2024-09,ESA,,1.0,EDUCATION
2024-10-01,JCS,2850M,,justice
2023-11,HSE,-,1.1,health
2023-12,RCA,4340,1.1,tax_collection
2023-10,ITB,5273,1.1,infrastructure
2022-10,HCD,N/A,0.1,housing
2024-01,HCD,4691,0.0,HOUSING
2023-06,Infrastructure & Transport Bureau,5111,1.0,infrastructure
2022-05,ESA,6261,,education
2023-11,dto,1210,0.3,digital
2023-06,NDO,3427,-0.1,defence
2023-06,RCA,,1.0,tax_collection
2022-12,NDO,3730,-0.1,defence
2022-02,DTO,1193,-0.1,Digital
2023-03,ITB,5205,-0.1,infrastructure
2024-02,HSE,9335,0.8,health services
2024-09,SBD,7985,0.5,welfare_benefits
2022-12,SBD,7927,0.7,welfare
2024/10,RCA,4321,0.3,TAX_COLLECTION
2023-09,JCS,,-0.0,justice
2022-10,DTO,1112,-0.4,digital_tech
2024-09,health services executive,"""9,159""",-0.0,health
2022-12,HSE,9055,0.2,health
2024-01,HCD,4701,-0.2,HOUSING
Apr-2022,Digital & Technology Office,1236,0.3,digital
2024-04,RCA,4326,0.2,tax_collection
2023-11,dto,1209M,0.3,digital
2024-03,SBD,8147,0.7,welfare
12-2022,EPB,1938,0.4,environment
2024-01,JCS,£2993,-0.1,justice
2022-11,HSE,N/A,1.1,health
2022-03,JCS,2796,0.2,justice
2024-10,NDO,"""3,750""",0.5,defence
2023-04,ITB,5218 ,1.1,infrastructure
2023-09,JCS,,-0.2,justice
2024/04,HSE,9146,0.2,Health
2022-02,JCS,2622,0.8,justice
2023-10,HSE,9223,0.4,health
2024-11,HSE,,0.7,health
2023-4,Revenue Collections Agency,4330,0.4,tax_collection
2023-05,ITB,5053,1.0,infrastructure
2024-6,ITB,5144,0.1,infrastructure
2024-02,Environment Protection Bureau,2256,0.5,environment
2024-1,DTO,1023,0.1,digital
2024-08,RCA,4383,0.6,TAX_COLLECTION
2024-9,NDO,3782,-,defence
2024-10,HSE,9289,0.7,health
2023-12,HCD,#N/A,#N/A,housing
2022-07,DTO,#N/A,999,digital_tech
2023-04,DTO,1035,1.0,digital
2022-02,EPB,"""2,076""",,environment
2022-02,EPB,"""2,076""",,environment
2022-08,RCA,4054,1.0,Tax_Collection
2024-09,EPB,2271,0.1,environment
2024-04,EPB,2255,0.2,environment
Jul-2023,EPB,2299,0.4,Environment
2024-08,DTO,1064,0.5,digital
2023-10,HSE,9223,0.6,health
2022-09,DTO,1310,0.3,digital
2024-03,housing & communities directorate,4880,0.4,housing
2022-04,NDO,3507,0.8,defence
2022-03-01,DTO,#N/A,1.2,digital
2022-07,JCS,2988,0.1,justice
2022-06,ITB,4970,,infrastructure
2022-7,HEALTH SERVICES EXECUTIVE,9391,0.7,health
2023-07-01,HSE,9021,0.2,health
2022-09,HSE,9064,-0.0,HEALTH
2024-06,JCS,,0.5,Justice
2023-09,health services executive,9168,0.2,health
2023-02,ITB,4939,0.6,infrastructure
12-2022,housing & communities directorate,4671M,0.4,housing
2023-04,NDO,3437,-0.2,defence
2024-03,DTO,1081,0.8,digital
Dec-2022,rca,4239,0.9,tax_collection
2023-09,SBD,8135,0.5,welfare
2024-05,DTO,1244,-0.2,digital
Dec-2024,HSE,£9166,0.1,health
2024-10,INFRASTRUCTURE & TRANSPORT BUREAU,,0.9,infrastructure
2023-07,SBD,8179,0.1,welfare
2022-01,ESA,6316,-0.3,education
2024-06,HSE,,0.5,health
2024-09,ITB,£5298,1.1,infrastructure
01-2023,EPB,,0.2,environment
2024-03,JCS,2984M,-0.1,justice
2024-07,itb,5136,0.0,infrastructure
2022-11,HCD,4724,1.0,housing
2024/09,HCD,4894,0.7,Housing
04-2023,health services executive,9051,-0.1,health
2023-07,SBD,8179,-0.1,welfare
2024-09,SBD,7985,0.6,welfare_benefits
2023-10,JCS,2875,0.8,justice
Sep-2023,ESA,6135,,education
2024-1,DTO,1023,-0.1,digital
2024-04,JCS,2699,-0.1,justice
2024-09,EPB,2266,0.1,environment
2024-07,DTO,1194,0.2,digital
2023-02,JCS,2695,-0.1,justice
2022-03,SBD,8093,0.1,welfare
2024-10-01,JCS,2848,,justice
2023-09,NDO,3516,0.3,National Defence
2023-08,HCD,4976,0.8,housing
2023-07,HCD,4707,0.6,housing
2024/04,ITB,£5125,-0.1,infrastructure
2024-11,NDO,3622,0.0,defence
2024-12,ESA,£6208,,education
2024-10,digital & technology office,1259,0.7,technology
2022-04,JCS,2712,0.7,justice
2024-02,NDO,3756,0.4,defence
2023-05,ITB,5053,1.0,infrastructure
2024-01-01,RCA,,0.0,tax_collection
2024-10,HCD,-,0.5,housing
2024-11,RCA,4185,0.7,tax_collection
2022-03,EPB,2019,1.0,environment
2022-01-01,HCD,4647,0.1,housing
2024-08,SBD,8079,-,welfare
02-2023,EPB,2160,-0.1,environment
2024-10,EPB,-1906,1.1,environment
2023-10,ITB,5273,0.9,infrastructure
2023-09,RCA,4113,0.1,tax_collection
2022-01,RCA,n/a,-0.0,tax_collection
2023-05,EPB,2199,,environment
2022-03,JCS,2794,0.2,justice
2024-5,ITB,5097,1.1,infrastructure
2022-07,EPB,2034,1.0,environment
2023-10,HSE,9223,0.5,health
2024-02,DTO,1112,0.0,digital
2023-02,NDO,3551,0.2,defence
2022-08,EPB,2085,N/A,environment
2022-12,JCS,£2881,0.0,Justice
2024-01-01,HSE,9384,0.1,health
2024-07,HCD,4772,0.9,housing
2024-04,JCS,2709,-0.1,justice
2024-05,NATIONAL DEFENCE OFFICE,3505,-,defence
2023-09,NDO,3516,0.1,National Defence
2023-06,SBD,8158,0.5,welfare
2022-7,HEALTH SERVICES EXECUTIVE,"""9,393""",0.7,health
03-2023,JCS,2802,-0.0,justice
2024-11,DTO,1374,0.6,Digital
2024-05,EPB,2080,0.1,environment
2024-07,EPB,2115,0.2,environment
2024-04,ESA,6271,0.2,education
2023-03,NDO,,0.1,defence
Jul-2023,EPB,2299,0.4,Environment
2024-09,EPB,2266,0.2,environment
12-2022,EPB,1948,0.4,environment
2023-06,Infrastructure & Transport Bureau,5116,1.0,infrastructure
2024-12-01,JCS,2864,1.1,justice
2023-07-01,HSE,9011,0.2,health
2024-01,EPB,2143,NULL,environment
2023-01,RCA,4333M,1.0,tax_collection
2022-08,SBD,8053,1.0,welfare
2022-02,ITB,,0.6,infrastructure
2024-08,HCD,4918M,-0.2,housing
2022-09,HCD,4684,0.2,housing
2023/06,HCD,4734,-0.2,housing
2022-09,NDO,3648,,defence
2024-08,ITB,5233,-0.1,infrastructure
2024-06,EPB,2139,1.1,environment
2022-02,NDO,3403,0.9,defence
2023-04,ESA,6209,0.5,education
2022-09,HCD,4684,0.3,housing
2024-10,NDO,"""3,750""",0.6,defence
03-2023,JCS,2802,-0.2,justice
2022-08,DTO,1240,-0.2,digital
2022-01-01,HCD,4652,0.1,housing
2022-10,ESA,6273,-0.2,education
2024-04,HCD,-4875,-0.1,housing & communities
2022-06,HCD,-4681,0.9,housing
2022-10,SBD,8104,1.2,welfare
2022-03-01,HCD,-,0.1,housing
2022-11,ESA,6392,0.6,education
2023-02,RCA,4284,0.7,tax_collection
2022-4, Infrastructure & Transport Bureau,5259,1.1,infrastructure
2024-05,RCA,4206,0.3,tax_collection
2023-4,Revenue Collections Agency,4320,0.2,tax_collection
2023-01,HCD,4684,0.3,housing
2022-03-01,DTO,#N/A,1.2,digital
2023-08,SBD,8021,1.0,welfare
2022-09,JCS,,-100,JUSTICE
2023-02,ESA,£6260,-0.1,EDUCATION
2022-11,HSE,N/A,1.1,health
2024-04,HCD,-4876,-0.1,housing & communities
2023-10,HCD,4895,0.0,housing
2022-06,HCD,-4681,0.9,housing
2023-05,EPB,2209M,,environment
2024-08,ESA,6202,1.0,education
2023-05,DTO,1079,0.3,DIGITAL
2022-01,ESA,6316,-0.2,education
2022-10,ITB,5164,0.4,infrastructure
2022-11,JCS,2781,0.4,justice
2024-4,sbd,8298,0.5,Welfare
2024-09,health services executive,"""9,159""",-0.0,health
2023-09,SBD,8135,0.3,welfare
2022-05,EPB,2035,-0.2,environment
2024-04,NDO,3720,0.3,defence
03-2023,JCS,2802,-0.1,justice
2022-03,RCA,,0.2,Tax Collection
2022-06,Revenue Collections Agency ,4134,0.6,tax_collection
2022-05,RCA,4393,0.7,tax_collection
2023-04,DTO,1035,1.0,digital
2024/04,HSE,9146,0.1,Health
2022-09,HSE,9064,-0.0,HEALTH
2022-08,education standards authority,6498,1.1,education
2024-11,RCA,4185,0.6,tax_collection
2024-02,NDO,3756,0.3,defence
2024-02,JCS,2625,0.7,justice
2024-07,NDO,3729 ,0.4,defence
Sep-2023,ESA,6134,,education
2022-12,HSE,9055,0.2,health
2022-09,DTO,1310,0.4,digital
2024-04,HCD,-4876,-0.1,housing & communities
2022-02,ITB,,0.8,infrastructure
2022-04,ESA,6426,0.0,education
2023-04,ESA,6207,0.5,education
2023-08,RCA,4383,0.0,Tax_Collection
2024-11,NDO,3622,0.0,defence
2022-08,JCS,£2757,0.1,justice
2022-09,ESA,6343 ,1.0,education
2023-04,EPB,2084,0.2,env
12-2022,housing & communities directorate,4671M,0.4,housing
2023-12,ITB,5054 ,0.4,infrastructure
2022-10,RCA,4102,0.8,tax_collection
2023-05,housing & communities directorate,4654,0.8,housing
2022-04,JCS,2712,0.6,justice
2024-04,JCS,2709,-0.1,justice
2022-03,HSE,9195,0.6,health
